cattle-id,price,age,color,breed,weight,clean_text,cluster,cluster_name
BLF1062,99000,3 years,Red,Local,239 kg,blf,0,blf / blfs / blfh
BLF1256,105000,2.5 years,Red,Sahiwal,255 kg,blf,0,blf / blfs / blfh
BLF852,215000,3 years,Red,Sahiwal,464 kg,blf,0,blf / blfs / blfh
BLF915,122000,2.5 years,Non Red,Local,300 kg,blf,0,blf / blfs / blfh
BLF940,121000,2.5 years,Red,Sahiwal,293 kg,blf,0,blf / blfs / blfh
BLF1215,86000,2.5 years,Non Red,Local,212 kg,blf,0,blf / blfs / blfh
BLF1238,119000,2.5 years,Red,Local,288 kg,blf,0,blf / blfs / blfh
BLF923,119000,2.5 years,Red,Local,284 kg,blf,0,blf / blfs / blfh
BLF1131,94000,2.5 years,Red,Local,226 kg,blf,0,blf / blfs / blfh
BLF1329,94000,2.5 years,Red,Local,225 kg,blf,0,blf / blfs / blfh
BLF955,70000,2.5 years,Non Red,Local,167 kg,blf,0,blf / blfs / blfh
BLF1286,102000,2.5 years,Red,Local,248 kg,blf,0,blf / blfs / blfh
BLF994,92000,2.5 years,Non Red,Local,228 kg,blf,0,blf / blfs / blfh
BLF913,109000,2.5 years,Non Red,Local,268 kg,blf,0,blf / blfs / blfh
BLF1318,90000,2.5 years,Non Red,Local,222 kg,blf,0,blf / blfs / blfh
BLF1152,98000,2.5 years,Red,Local,236 kg,blf,0,blf / blfs / blfh
BLF1258,88000,2.5 years,Red,Sindhi,212 kg,blf,0,blf / blfs / blfh
BLF861,96000,2.5 years,Red,Red Chittagong,230 kg,blf,0,blf / blfs / blfh
BLF945,108000,2.5 years,Red,Local,260 kg,blf,0,blf / blfs / blfh
BLF1184,99000,2.5 years,Red,Local,239 kg,blf,0,blf / blfs / blfh
BLF972,94000,3 years,Non Red,Local,232 kg,blf,0,blf / blfs / blfh
BLF1301,78000,2.5 years,Red,Local,187 kg,blf,0,blf / blfs / blfh
BLF934,94000,2.5 years,Non Red,Local,230 kg,blf,0,blf / blfs / blfh
BLF971,97000,3 years,Non Red,Local,238 kg,blf,0,blf / blfs / blfh
BLF1219,113000,2.5 years,Red,Sahiwal,280 kg,blf,0,blf / blfs / blfh
BLF867,137000,2.5 years,Non Red,Local,314 kg,blf,0,blf / blfs / blfh
BLF1026,91000,3 years,Non Red,Local,223 kg,blf,0,blf / blfs / blfh
BLF1003,119000,3 years,Red,Local,285 kg,blf,0,blf / blfs / blfh
BLF1263,97000,2.5 years,Red,Local,234 kg,blf,0,blf / blfs / blfh
BLF1164,82000,2.5 years,Non Red,Local,202 kg,blf,0,blf / blfs / blfh
BLF921,120000,3 years,Red,Sahiwal,287 kg,blf,0,blf / blfs / blfh
BLF1292,89000,2.5 years,Red,Local,214 kg,blf,0,blf / blfs / blfh
BLF873,129000,2.5 years,Red,Sahiwal,311 kg,blf,0,blf / blfs / blfh
BLF917,108000,3 years,White,Mir Kadim,235 kg,blf,0,blf / blfs / blfh
BLF949,128000,3 years,Red,Local,310 kg,blf,0,blf / blfs / blfh
BLF1199,95000,3 years,Non Red,Local,232 kg,blf,0,blf / blfs / blfh
BLF976,80000,2.5 years,Red,Local,192 kg,blf,0,blf / blfs / blfh
BLF1174,108000,2.5 years,Red,Local,260 kg,blf,0,blf / blfs / blfh
BLF876,93000,2.5 years,Non Red,Mir Kadim,202 kg,blf,0,blf / blfs / blfh
BLF942,89000,2.5 years,Non Red,Sindhi,220 kg,blf,0,blf / blfs / blfh
BLF914,111000,2.5 years,Non Red,Local,272 kg,blf,0,blf / blfs / blfh
BLF1043,103000,4 years,Non Red,Local,252 kg,blf,0,blf / blfs / blfh
BLFS264,153000,2.5 years,Non Red,Holstein Friesian Cross,386 kg,blfs,1,blfs / blfh / blfb
BLF1311,117000,3 years,Red,Sindhi,282 kg,blf,0,blf / blfs / blfh
BLF927,100000,2.5 years,Red,Red Chittagong,243 kg,blf,0,blf / blfs / blfh
BLF1338,91000,2.5 years,Non Red,Local,224 kg,blf,0,blf / blfs / blfh
BLF1284,91000,2.5 years,Red,Local,220 kg,blf,0,blf / blfs / blfh
BLF954,119000,2.5 years,Red,Sindhi,288 kg,blf,0,blf / blfs / blfh
BLFB331,159000,2.5 years,Cross Red,Holstein Friesian Cross,385 kg,blfb,2,blfb / blfs / blfh
BLF1044,114000,2.5 years,Non Red,Local,280 kg,blf,0,blf / blfs / blfh
BLF890,126000,2.5 years,Non Red,Local,310 kg,blf,0,blf / blfs / blfh
BLF1098,99000,2.5 years,Red,Sindhi,239 kg,blf,0,blf / blfs / blfh
BLF1269,109000,2.5 years,Red,Local,263 kg,blf,0,blf / blfs / blfh
BLF1359,91000,2.5 years,Red,Local,219 kg,blf,0,blf / blfs / blfh
BLF922,131000,2.5 years,Red,Sahiwal,317 kg,blf,0,blf / blfs / blfh
BLF930,105000,2.5 years,Red,Local,236 kg,blf,0,blf / blfs / blfh
BLF1237,79000,3 years,Red,Local,191 kg,blf,0,blf / blfs / blfh
BLF1117,88000,3 years,Red,Sindhi,212 kg,blf,0,blf / blfs / blfh
BLF1161,127000,3 years,Red,Local,307 kg,blf,0,blf / blfs / blfh
BLFS11,156000,4 years,White,Mir Kadim,339 kg,blfs,1,blfs / blfh / blfb
BLF1088,88000,2.5 years,Red,Sindhi,211 kg,blf,0,blf / blfs / blfh
BLF1033,101000,2.5 years,Red,Local,248 kg,blf,0,blf / blfs / blfh
BLF1190,98000,2.5 years,Red,Local,237 kg,blf,0,blf / blfs / blfh
BLF1097,117000,2.5 years,Red,Local,284 kg,blf,0,blf / blfs / blfh
BLF1083,110000,2.5 years,Red,Local,266 kg,blf,0,blf / blfs / blfh
BLF1360,66000,2 years,Non Red,Local,161 kg,blf,0,blf / blfs / blfh
BLF1349,98000,2.5 years,Red,Local,238 kg,blf,0,blf / blfs / blfh
BLF902,85000,2.5 years,Red,Local,206 kg,blf,0,blf / blfs / blfh
BLF1350,139000,3 years,Red,Local,336 kg,blf,0,blf / blfs / blfh
BLF1293,110000,2.5 years,Red,Sahiwal,267 kg,blf,0,blf / blfs / blfh
BLF1299,95000,2.5 years,Non Red,Local,234 kg,blf,0,blf / blfs / blfh
BLF1357,90000,2.5 years,Red,Local,216 kg,blf,0,blf / blfs / blfh
BLF868,128000,2.5 years,Red,Sahiwal,294 kg,blf,0,blf / blfs / blfh
BLF936,108000,2.5 years,Red,Sahiwal,262 kg,blf,0,blf / blfs / blfh
BLF1028,86000,3 years,Non Red,Local,206 kg,blf,0,blf / blfs / blfh
BLF1192,103000,2.5 years,Red,Local,250 kg,blf,0,blf / blfs / blfh
BLF1316,87000,2.5 years,Red,Local,210 kg,blf,0,blf / blfs / blfh
BLF928,131000,2.5 years,Non Red,Local,324 kg,blf,0,blf / blfs / blfh
